Time,REF_temp,RTD2,RTD3,RTD4,RTD5,RTD6,RTD7,RTD8
35374.929154396064,69.942,71.9132,71.8828,72.0156,71.9345,71.9029,71.9545,71.9679
35379.881306648254,69.942,71.9119,71.8801,72.0122,71.9321,71.9008,71.9531,71.9634
35384.86445975304,69.941,71.9114,71.8764,72.0081,71.9278,71.8989,71.9502,71.9618
35392.115682840355,69.94,71.9054,71.8743,72.0069,71.9247,71.8944,71.9457,71.9594
35397.084834098816,69.938,71.903,71.8726,72.0042,71.9249,71.8936,71.9437,71.9583
35402.03198480607,69.937,71.9018,71.8699,72.0009,71.922,71.8895,71.9405,71.9546
35406.99813508988,69.935,71.9006,71.8665,72.0002,71.921,71.8903,71.9409,71.9536
35411.947291851044,69.933,71.8998,71.8678,72.0001,71.9191,71.8882,71.9398,71.953
35416.92967033386,69.932,71.898,71.867,72.0001,71.9191,71.8866,71.9395,71.9517
35421.92817020416,69.93,71.899,71.8683,71.9996,71.9183,71.8884,71.9405,71.9507
35426.91066837311,69.93,71.8996,71.8695,72.0002,71.919,71.8887,71.9401,71.9525
35431.876164913185,69.93,71.9015,71.8729,72.0052,71.9228,71.8917,71.9451,71.9554
35436.858663082116,69.93,71.9022,71.8716,72.0039,71.9222,71.8922,71.9453,71.9559
35441.84200310707,69.931,71.9039,71.8779,72.0087,71.9266,71.8936,71.9483,71.9602
35446.80115318298,69.931,71.9049,71.8783,72.0111,71.9274,71.8946,71.9509,71.9603
35451.77230548859,69.932,71.9084,71.8804,72.0121,71.9302,71.8968,71.9525,71.9623
35456.749455928795,69.934,71.91,71.8812,72.0119,71.9303,71.8973,71.9518,71.9632
35461.74860715866,69.936,71.9127,71.8833,72.0154,71.9346,71.9024,71.9549,71.9656
35466.728758096695,69.937,71.9137,71.8846,72.0178,71.9353,71.9053,71.9585,71.9691
35471.700907230384,69.939,71.9143,71.8859,72.0189,71.937,71.9061,71.9579,71.9675
35476.63305521011,69.94,71.9134,71.8843,72.0159,71.935,71.9037,71.9552,71.9698
35481.580205440514,69.941,71.9137,71.884,72.0169,71.9356,71.9031,71.9549,71.969
35486.56535625458,69.942,71.913,71.8816,72.0149,71.9335,71.9018,71.9528,71.9682
35491.52350783348,69.942,71.9108,71.883,72.013,71.9321,71.9005,71.9529,71.9651
35496.50665903092,69.942,71.9095,71.8775,72.0105,71.9297,71.8992,71.9501,71.9626
35501.47080898285,69.941,71.9071,71.8739,72.0069,71.9273,71.8959,71.9451,71.9611
35506.44395971298,69.94,71.9044,71.8726,72.0034,71.9242,71.8936,71.9429,71.9594
35511.401109695435,69.938,71.9031,71.8697,72.0015,71.9218,71.89,71.9421,71.9552
35516.37225961685,69.936,71.9001,71.8697,72.0009,71.9204,71.8892,71.9406,71.9528
35521.335408687584,69.934,71.8999,71.8686,71.9989,71.9172,71.8884,71.9379,71.953
35526.304560661316,69.932,71.8974,71.8686,71.9991,71.9186,71.888,71.9401,71.9514
35531.30571222305,69.931,71.8982,71.8686,72.0001,71.919,71.8864,71.9408,71.9507
35536.284862041466,69.93,71.8985,71.8694,72.001,71.9218,71.8885,71.9424,71.9527
