,1,2,3,4,5,6,7,8,REF
0,51.2897,49.90664113470215,49.948791266066095,49.93506088656244,49.91371274133261,49.82675545801445,49.84745941055277,49.838922521738105,49.773999999999994
1,51.2904,49.9058634994171,49.9504427746097,49.93224366548498,49.912935578558034,49.82889220822084,49.844450211057264,49.840476679037714,49.776
2,51.291000000000004,49.90975167578348,49.9504427746097,49.93515803212468,49.91497563086086,49.829960583339904,49.845226778693565,49.83989387004658,49.778
3,51.2932,49.90819640525458,49.95151139784157,49.934672304318674,49.917015683226865,49.83326283377478,49.847362339605304,49.842127971203915,49.78
4,51.2953,49.911695763911496,49.95267716869069,49.93778096250336,49.91652995646733,49.83287433371838,49.84872133284551,49.84135089253293,49.782
5,51.2967,49.912181785937754,49.955397300877735,49.939918165316335,49.91594708436061,49.83287433371838,49.84813890717754,49.8420308363696,49.772
6,51.2977,49.912473399152404,49.95452297264334,49.939821019728434,49.91915288101138,49.8340398338918,49.84978911321182,49.845236285968525,49.783
7,51.299,49.91529232685133,49.95646592431575,49.94186107718439,49.921581514941536,49.83782770954239,49.85163346104119,49.84679044339923,49.784
8,51.2991,49.91325103438742,49.9560773339695,49.941958222783285,49.919735753146455,49.836176584242445,49.85211881571711,49.84912167960576,49.784
9,51.2993,49.914223078422914,49.95831172854066,49.941472494794034,49.918084282110456,49.836176584242445,49.85105103542127,49.84620763435894,49.773999999999994
10,51.3005,49.91694480167334,49.95947749969842,49.94351255243687,49.9235244221501,49.83938170984779,49.85706943303032,49.85019016289134,49.786
11,51.3005,49.91529232685133,49.96025468049966,49.945649755929345,49.92080435207415,49.83850758467325,49.85522508548499,49.8477617918098,49.776
12,51.3009,49.916847597272785,49.95908890930662,49.94244395078563,49.92537018405126,49.83860470969229,49.85571044011153,49.84960735382458,49.785
13,51.3012,49.916847597272785,49.96035182810146,49.9439982804811,49.92469016650272,49.840352960050026,49.86056398600983,49.85145291588485,49.776
14,51.3028,49.9189860940638,49.961129008929134,49.94642692089851,49.92459302113921,49.840352960050026,49.8584284258968,49.851938590118785,49.78
15,51.303999999999995,49.91927770725913,49.963266256326484,49.94827268783454,49.923815858236324,49.84161558532602,49.85571044011153,49.850967241654054,49.778
16,51.3071,49.921805021583886,49.965889242011656,49.950507037536184,49.92682736453604,49.843849460850535,49.85862256773059,49.850481567426414,49.778
17,51.3072,49.92054136442928,49.96482061818167,49.947495522785815,49.92566162014564,49.8427810855939,49.86260247508809,49.85329847799057,49.781000000000006
