RTD temps,REF_temp,Time
"[31.0854, 31.0438, 31.1734, 31.087, 31.052, 31.0695, 31.1147]",30.25,303.30430483818054
"[31.088, 31.047, 31.1755, 31.0911, 31.0569, 31.0736, 31.1171]",30.252,308.2574577331543
"[31.0906, 31.0487, 31.1772, 31.0922, 31.0583, 31.0771, 31.1185]",30.254,313.22561478614807
"[31.0934, 31.0511, 31.1794, 31.0949, 31.06, 31.079, 31.122]",30.256,318.19576835632324
"[31.0955, 31.0554, 31.1831, 31.0989, 31.064, 31.0815, 31.1247]",30.259,323.158917427063
"[31.097, 31.0563, 31.1853, 31.1003, 31.067, 31.0842, 31.1278]",30.262,328.15807008743286
"[31.1012, 31.0604, 31.1889, 31.1035, 31.0689, 31.088, 31.1305]",30.269,335.43229484558105
"[31.1053, 31.0639, 31.1914, 31.1083, 31.0725, 31.0901, 31.1345]",30.27,340.370564699173
"[31.1078, 31.0671, 31.1949, 31.1099, 31.0754, 31.0921, 31.1359]",30.271,345.32205986976624
"[31.1121, 31.0702, 31.1977, 31.1132, 31.078, 31.0961, 31.139]",30.273,350.2735550403595
"[31.1116, 31.071, 31.1992, 31.1153, 31.0788, 31.0975, 31.1424]",30.275,355.2250497341156
"[31.1157, 31.0734, 31.2022, 31.1162, 31.0826, 31.1011, 31.143]",30.277,360.19254660606384
"[31.1185, 31.0772, 31.2056, 31.1202, 31.0855, 31.1033, 31.1458]",30.279,365.17392802238464
"[31.1203, 31.0791, 31.2064, 31.121, 31.087, 31.1052, 31.1498]",30.281,370.14708638191223
"[31.1225, 31.081, 31.2096, 31.1248, 31.0893, 31.1084, 31.151]",30.283,375.1122407913208
"[31.1234, 31.0826, 31.2123, 31.1275, 31.0932, 31.1119, 31.1536]",30.29,380.0643937587738
"[31.1269, 31.0865, 31.2139, 31.1301, 31.0948, 31.1138, 31.157]",30.292,385.0196189880371
"[31.1304, 31.0884, 31.217, 31.1308, 31.0964, 31.1155, 31.1582]",30.293,389.96777153015137
"[31.1316, 31.0924, 31.2197, 31.1344, 31.1003, 31.1191, 31.1613]",30.294,394.9409279823303
"[31.1338, 31.0919, 31.2216, 31.1361, 31.1017, 31.1196, 31.1624]",30.296,399.91208148002625
"[31.1373, 31.0939, 31.2218, 31.1393, 31.1035, 31.1223, 31.1662]",30.305,404.89323592185974
"[31.1391, 31.0962, 31.2268, 31.1409, 31.1063, 31.1259, 31.1691]",30.305,409.85946226119995
"[31.1424, 31.1001, 31.2284, 31.1425, 31.1096, 31.1278, 31.1702]",30.305,414.8366093635559
"[31.1435, 31.1026, 31.232, 31.1466, 31.1125, 31.1314, 31.1733]",30.307,419.7977092266083
"[31.1473, 31.1061, 31.2342, 31.1492, 31.1153, 31.1337, 31.1755]",30.307,424.78581142425537
"[31.1501, 31.1077, 31.2368, 31.1519, 31.1168, 31.1354, 31.1798]",30.315,429.77291560173035
"[31.1517, 31.1101, 31.239, 31.1524, 31.1187, 31.1393, 31.1807]",30.316,434.73101806640625
"[31.1545, 31.1129, 31.2401, 31.1564, 31.1209, 31.1403, 31.182]",30.317,439.72512578964233
"[31.1561, 31.1156, 31.2432, 31.1584, 31.1226, 31.1434, 31.1858]",30.32,444.7152352333069
"[31.1588, 31.118, 31.2461, 31.1613, 31.1264, 31.1458, 31.1877]",30.322,449.66342186927795
"[31.1624, 31.1216, 31.2483, 31.1643, 31.1273, 31.1491, 31.1912]",30.324,454.6475236415863
"[31.1651, 31.1233, 31.2515, 31.1666, 31.1319, 31.1513, 31.1935]",30.327,459.60862851142883
"[31.1672, 31.1248, 31.2538, 31.1696, 31.1345, 31.155, 31.1965]",30.328,464.5707287788391
"[31.1702, 31.1279, 31.2567, 31.1725, 31.136, 31.158, 31.1995]",30.335,469.52483463287354
