1,2,3,4,5,6,7,8,REF
143.9171,143.9058,143.9616,144.077,144.1027,143.8292,143.8984,143.9969,139.909
143.9148,143.904,143.9592,144.0764,144.1033,143.8301,143.8984,143.9975,139.909
143.9131,143.9045,143.9587,144.0757,144.103,143.8291,143.8972,143.9962,139.908
143.9095,143.9018,143.9565,144.0729,144.1015,143.8281,143.8953,143.9961,139.909
143.9118,143.9013,143.9559,144.0737,144.1022,143.8289,143.8962,143.9961,139.908
143.9104,143.9027,143.959,144.0752,144.1005,143.8291,143.8966,143.9952,139.907
143.9102,143.9033,143.9572,144.0746,144.1019,143.8281,143.8949,143.9954,139.907
143.9118,143.901,143.9564,144.0749,144.0999,143.8284,143.8956,143.9942,139.907
143.9087,143.9005,143.9551,144.0731,144.0994,143.8256,143.8931,143.9928,139.905
143.9071,143.8987,143.9533,144.0705,144.0981,143.825,143.8931,143.9924,139.904
143.9105,143.8984,143.9534,144.0737,144.0987,143.8266,143.8938,143.9913,139.903
143.9094,143.8995,143.9569,144.0739,144.0963,143.8246,143.892,143.9902,139.902
143.9105,143.8984,143.9549,144.075,144.0982,143.8258,143.894,143.9926,139.902
143.9097,143.8971,143.9534,144.0755,144.0989,143.8255,143.894,143.9936,139.903
143.9133,143.9023,143.9582,144.0785,144.1001,143.8278,143.8964,143.9949,139.903
143.9115,143.9017,143.9565,144.077,144.1009,143.8269,143.8964,143.9951,139.902
143.9104,143.9018,143.9579,144.077,144.1001,143.8279,143.8938,143.9954,139.904
143.912,143.9018,143.9577,144.0775,144.1017,143.8287,143.8959,143.9942,139.904
143.9112,143.9022,143.9575,144.0747,144.1028,143.8292,143.8941,143.9975,139.904
143.9087,143.8992,143.9541,144.0734,144.0986,143.8251,143.8928,143.992,139.904
