1,2,3,4,5,6,7,8,REF
71.8483,71.8351,71.8769,72.0018,71.901,71.7379,71.7952,71.8437,69.774
71.8494,71.834,71.8766,72.005,71.9039,71.7396,71.7956,71.8448,69.775
71.8473,71.834,71.8782,72.0021,71.9028,71.7388,71.794,71.844,69.776
71.8465,71.8335,71.8763,72.002,71.9039,71.7385,71.7931,71.845,69.777
71.8494,71.8364,71.8799,72.0061,71.9057,71.7422,71.7939,71.8464,69.777
71.8505,71.8365,71.8799,72.0049,71.9015,71.7387,71.7958,71.8434,69.777
71.8513,71.8369,71.8806,72.0065,71.9047,71.742,71.7969,71.8469,69.778
71.8519,71.838,71.8812,72.0082,71.9076,71.7409,71.7971,71.8485,69.779
71.8519,71.8397,71.8822,72.0061,71.9068,71.7427,71.7979,71.8475,69.779
71.8508,71.8389,71.8824,72.0058,71.9055,71.7435,71.7992,71.8485,69.779
71.8513,71.8385,71.8801,72.0061,71.9078,71.7431,71.7972,71.8493,69.779
71.8508,71.8385,71.8808,72.0061,71.9073,71.7422,71.7993,71.8501,69.78
71.8524,71.8377,71.8806,72.0058,71.9057,71.7427,71.7969,71.8482,69.78
71.8545,71.8393,71.8828,72.0076,71.9071,71.7428,71.799,71.8486,69.779
71.8511,71.8378,71.8793,72.006,71.9065,71.7414,71.7964,71.8474,69.779
71.8518,71.8402,71.8822,72.0069,71.9082,71.7419,71.7976,71.8501,69.779
71.8515,71.8391,71.8796,72.0073,71.9081,71.742,71.7956,71.8493,69.779
71.8489,71.8369,71.8779,72.0049,71.9055,71.7406,71.7945,71.8472,69.779
71.8479,71.8359,71.8782,72.0018,71.9028,71.7396,71.7947,71.8448,69.78
71.8465,71.8341,71.875,71.9997,71.9007,71.7382,71.7865,71.8435,69.779
