1,2,3,4,5,6,7,8,REF
185.1679,185.1847,185.1959,185.3017,185.3981,185.0849,185.1607,185.2647,179.93
185.1656,185.1839,185.1929,185.2994,185.3986,185.0869,185.1587,185.2659,179.931
185.1689,185.1846,185.1972,185.3037,185.398,185.0858,185.1601,185.2635,179.933
185.1687,185.1842,185.1969,185.301,185.3976,185.0861,185.1599,185.2642,179.932
185.1659,185.1828,185.1969,185.3007,185.3966,185.0856,185.1592,185.2634,179.932
185.1669,185.1824,185.1956,185.3,185.3973,185.0826,185.1594,185.2659,179.932
185.1646,185.1829,185.1949,185.2959,185.3986,185.0839,185.1587,185.2647,179.931
185.1617,185.1799,185.1907,185.2911,185.3975,185.0818,185.1562,185.2634,179.931
185.1612,185.1819,185.1911,185.2922,185.3965,185.0834,185.1564,185.2649,179.931
185.1611,185.1803,185.1909,185.2939,185.3956,185.0819,185.1547,185.2609,179.93
185.1581,185.1796,185.1886,185.2937,185.3955,185.0809,185.1531,185.2632,179.93
185.1602,185.1791,185.1907,185.2935,185.3968,185.0818,185.1524,185.2632,179.928
185.1622,185.1818,185.1937,185.2954,185.3953,185.0831,185.1569,185.2617,179.927
185.1617,185.1828,185.1937,185.2965,185.396,185.0838,185.1567,185.262,179.928
185.1569,185.1801,185.1907,185.292,185.3946,185.0813,185.1534,185.261,179.928
185.1642,185.1821,185.1959,185.2977,185.3975,185.0849,185.1587,185.2634,179.927
185.1646,185.1837,185.1962,185.299,185.3966,185.0854,185.1577,185.265,179.928
185.1627,185.1846,185.1964,185.3005,185.399,185.0851,185.1572,185.2662,179.929
185.1637,185.1836,185.1942,185.2989,185.399,185.0869,185.1546,185.2647,179.93
185.1616,185.1834,185.1936,185.2942,185.3981,185.0838,185.1561,185.2622,179.931
