1,2,3,4,5,6,7,8,REF
82.1314,82.111,82.1609,82.2911,82.2062,82.0224,82.0776,82.1404,79.794
82.1335,82.1105,82.1635,82.2944,82.2053,82.0215,82.0778,82.1381,79.794
82.1351,82.1142,82.1675,82.2968,82.2079,82.0226,82.0771,82.1407,79.796
82.1316,82.1123,82.1641,82.2939,82.2071,82.0232,82.0779,82.1417,79.797
82.1372,82.1155,82.1681,82.2978,82.2075,82.0255,82.0789,82.1415,79.797
82.1364,82.1158,82.168,82.2972,82.2091,82.0252,82.0806,82.1417,79.797
82.1378,82.1171,82.1693,82.2994,82.2112,82.0279,82.0826,82.146,79.797
82.1401,82.1172,82.172,82.2997,82.212,82.0281,82.0842,82.1463,79.798
82.1409,82.1193,82.1717,82.3023,82.2117,82.0287,82.0843,82.1449,79.799
82.1365,82.1164,82.1676,82.2976,82.2079,82.0264,82.0822,82.1446,79.799
82.1348,82.1145,82.1686,82.2975,82.2099,82.0248,82.0818,82.1459,79.798
82.1356,82.116,82.168,82.2989,82.2096,82.0255,82.0835,82.1459,79.797
82.1325,82.1127,82.1651,82.2959,82.209,82.0247,82.0802,82.1449,79.797
82.1337,82.1132,82.1657,82.2951,82.2091,82.0244,82.0776,82.1431,79.798
82.134,82.114,82.1668,82.2957,82.2064,82.0242,82.079,82.143,79.799
82.1356,82.1156,82.1685,82.2965,82.2087,82.0242,82.08,82.1459,79.801
82.1346,82.1142,82.167,82.296,82.2093,82.0258,82.0787,82.1423,79.8
82.1354,82.1134,82.1685,82.2957,82.2101,82.026,82.0779,82.143,79.8
82.1324,82.1131,82.1651,82.2935,82.2062,82.0228,82.0779,82.1422,79.8
82.1309,82.1113,82.1635,82.2922,82.2072,82.0237,82.0774,82.143,79.799
