1,2,3,4,5,6,7,8,REF
51.3012,51.3098,51.3211,51.4386,51.3308,51.2091,51.2627,51.2852,49.776
51.3071,51.3149,51.3268,51.4453,51.333,51.2127,51.2607,51.2842,49.778
51.3072,51.3136,51.3257,51.4422,51.3318,51.2116,51.2648,51.2871,49.781
51.3072,51.3144,51.3264,51.4453,51.3326,51.2139,51.262,51.2871,49.784
51.309,51.3139,51.326,51.4443,51.331,51.2113,51.2602,51.2834,49.785
51.3005,51.3099,51.3202,51.4381,51.3296,51.2081,51.2591,51.2839,49.786
51.3009,51.3098,51.3198,51.437,51.3315,51.2073,51.2577,51.2833,49.785
51.2991,51.3061,51.3167,51.4365,51.3257,51.2048,51.254,51.2828,49.784
51.299,51.3082,51.3171,51.4364,51.3276,51.2065,51.2535,51.2804,49.784
51.2977,51.3053,51.3151,51.4343,51.3251,51.2026,51.2516,51.2788,49.783
51.2953,51.3045,51.3132,51.4322,51.3224,51.2014,51.2505,51.2748,49.782
51.2932,51.3009,51.312,51.429,51.3229,51.2018,51.2491,51.2756,49.78
51.291,51.3025,51.3109,51.4295,51.3208,51.1984,51.2469,51.2733,49.778
51.2904,51.2985,51.3109,51.4265,51.3187,51.1973,51.2461,51.2739,49.776
51.2897,51.2993,51.3092,51.4294,51.3195,51.1951,51.2492,51.2723,49.774
51.2967,51.305,51.316,51.4344,51.3218,51.2014,51.2499,51.2755,49.772
51.2993,51.3071,51.319,51.436,51.324,51.2048,51.2529,51.2798,49.774
51.3005,51.3082,51.321,51.4403,51.3268,51.2072,51.2572,51.2814,49.776
51.304,51.3123,51.3241,51.443,51.3299,51.2104,51.2577,51.2847,49.778
51.3028,51.312,51.3219,51.4411,51.3307,51.2091,51.2605,51.2857,49.78
