1,2,3,4,5,6,7,8,REF
195.4863,195.5061,195.5082,195.6115,195.7173,195.4044,195.4737,195.5872,189.929
195.4842,195.5041,195.5044,195.6075,195.7118,195.4014,195.4691,195.5822,189.926
195.4817,195.4996,195.5027,195.6049,195.7105,195.3973,195.4707,195.5821,189.926
195.4872,195.5062,195.5092,195.6137,195.7158,195.4031,195.4807,195.5872,189.924
195.4935,195.5106,195.5139,195.6179,195.7211,195.4081,195.4854,195.5927,189.923
195.4938,195.5149,195.5157,195.6187,195.7225,195.4098,195.4839,195.5949,189.923
195.487,195.5121,195.5124,195.6129,195.7223,195.4081,195.4792,195.5932,189.93
195.4843,195.5096,195.5081,195.6092,195.7221,195.4056,195.4756,195.5926,189.929
195.4842,195.5087,195.5116,195.6104,195.7213,195.4073,195.4816,195.5927,189.929
195.4892,195.5097,195.5122,195.6152,195.7181,195.4061,195.4787,195.5886,189.929
195.4827,195.5061,195.5056,195.6092,195.7178,195.4034,195.4766,195.5902,189.929
195.4868,195.5057,195.5071,195.6117,195.7191,195.4066,195.4786,195.5926,189.929
195.4893,195.5069,195.5112,195.6139,195.7196,195.4063,195.4786,195.5921,189.929
195.4912,195.5109,195.5089,195.6157,195.7185,195.4083,195.4794,195.5909,189.928
195.4873,195.5081,195.5067,195.6134,195.7168,195.4056,195.4772,195.5914,189.929
195.4885,195.5057,195.5074,195.6122,195.7145,195.4031,195.4746,195.5867,189.928
195.4897,195.5041,195.5062,195.6122,195.7156,195.4033,195.4767,195.5869,189.927
195.4903,195.5087,195.5086,195.614,195.7156,195.4063,195.4759,195.5892,189.926
195.4878,195.5066,195.5092,195.6137,195.7191,195.4063,195.4759,195.5921,189.926
195.4915,195.5084,195.5099,195.6144,195.7166,195.4066,195.4784,195.5876,189.926
