1,2,3,4,5,6,7,8,REF
123.3171,123.2933,123.3604,123.4961,123.4717,123.2212,123.2889,123.3791,119.89
123.3164,123.2909,123.3598,123.4941,123.4707,123.2225,123.2887,123.3805,119.888
123.3172,123.292,123.3608,123.4944,123.4718,123.2217,123.2897,123.3802,119.888
123.3156,123.2946,123.3599,123.4943,123.4735,123.2231,123.2881,123.3796,119.889
123.3206,123.2943,123.3626,123.4969,123.474,123.2243,123.2907,123.3796,119.889
123.32,123.2956,123.3645,123.4983,123.4749,123.227,123.2915,123.3823,119.89
123.3218,123.2967,123.3632,123.5011,123.4751,123.2274,123.2899,123.3812,119.891
123.3218,123.2967,123.3666,123.5011,123.4767,123.2264,123.2944,123.3818,119.892
123.3242,123.2977,123.3671,123.5027,123.4782,123.2282,123.2938,123.3838,119.894
123.3244,123.2989,123.3673,123.5029,123.4777,123.2275,123.2956,123.3843,119.896
123.3239,123.2979,123.3676,123.5032,123.4814,123.2303,123.2929,123.3869,119.898
123.3214,123.2987,123.3653,123.4982,123.4792,123.2285,123.2918,123.3859,119.9
123.3229,123.2981,123.3658,123.5004,123.4767,123.2275,123.2933,123.3825,119.9
123.3164,123.294,123.3604,123.4954,123.4766,123.2252,123.2892,123.3822,119.899
123.3206,123.2961,123.3642,123.4974,123.474,123.2248,123.2907,123.3817,119.897
123.3226,123.2958,123.3647,123.4982,123.4772,123.2262,123.2933,123.382,119.896
123.3197,123.2961,123.3635,123.4975,123.4762,123.2259,123.2925,123.3844,119.895
123.3188,123.2953,123.3648,123.4977,123.4743,123.2254,123.2908,123.3822,119.896
123.3205,123.2961,123.3645,123.497,123.4736,123.2246,123.2916,123.3813,119.895
123.321,123.2956,123.364,123.4969,123.4753,123.2241,123.2933,123.3841,119.893
