1,2,3,4,5,6,7,8,REF
61.5826,61.5783,61.6091,61.7325,61.6216,61.4788,61.5331,61.5703,59.773
61.588,61.5835,61.611,61.7368,61.6248,61.4811,61.5318,61.5725,59.776
61.585,61.5804,61.608,61.7312,61.6219,61.4773,61.5275,61.5697,59.778
61.5751,61.5737,61.6013,61.7249,61.6165,61.473,61.5263,61.5671,59.781
61.5749,61.5732,61.6,61.7228,61.6151,61.4724,61.5258,61.5653,59.781
61.5748,61.5697,61.597,61.7212,61.6132,61.4705,61.5215,61.5609,59.779
61.5724,61.5679,61.5944,61.7191,61.6112,61.4681,61.518,61.5579,59.778
61.5717,61.5665,61.5951,61.7196,61.6095,61.4674,61.5172,61.5594,59.776
61.5658,61.5641,61.5906,61.7132,61.6068,61.4636,61.5172,61.5545,59.774
61.5689,61.5636,61.5922,61.7153,61.6066,61.4623,61.5135,61.5547,59.771
61.5662,61.5636,61.5919,61.7132,61.6044,61.4615,61.5167,61.5548,59.769
61.5711,61.5676,61.5951,61.7191,61.6081,61.4666,61.5215,61.5577,59.766
61.5738,61.5711,61.6,61.7213,61.6111,61.4693,61.5191,61.5598,59.766
61.578,61.5753,61.6043,61.7263,61.6156,61.4727,61.529,61.5645,59.768
61.5818,61.5783,61.6074,61.7293,61.6178,61.4749,61.5322,61.5666,59.769
61.584,61.5796,61.6077,61.7311,61.621,61.4783,61.5342,61.5703,59.771
61.5837,61.5804,61.6098,61.7324,61.6211,61.4784,61.5286,61.5682,59.774
61.5832,61.5792,61.6069,61.7304,61.6211,61.4799,61.5317,61.5714,59.776
61.5781,61.5753,61.6035,61.7269,61.6171,61.4748,61.5309,61.5679,59.777
61.5786,61.5733,61.6013,61.7253,61.6178,61.4736,61.5301,61.5682,59.778
