1,2,3,4,5,6,7,8,REF
92.4327,92.4077,92.4667,92.6017,92.5275,92.3242,92.3832,92.4542,89.83
92.4367,92.4099,92.4708,92.6054,92.5289,92.3264,92.3838,92.456,89.831
92.4351,92.4099,92.47,92.6048,92.5307,92.3287,92.3841,92.4578,89.833
92.4356,92.4067,92.4682,92.6017,92.5306,92.3282,92.3841,92.4562,89.835
92.4338,92.408,92.469,92.6007,92.5264,92.3255,92.3796,92.4541,89.835
92.4335,92.4067,92.4669,92.6004,92.5272,92.3261,92.3815,92.4558,89.835
92.429,92.4053,92.4646,92.5967,92.5249,92.3237,92.3817,92.4534,89.835
92.428,92.4057,92.4643,92.5982,92.5233,92.3218,92.379,92.4537,89.834
92.4316,92.4067,92.4659,92.6004,92.527,92.3229,92.3822,92.4552,89.832
92.4326,92.4045,92.4663,92.6012,92.5265,92.3231,92.382,92.4539,89.831
92.4334,92.407,92.4684,92.604,92.528,92.3248,92.3836,92.4549,89.831
92.4284,92.4027,92.4624,92.5985,92.5227,92.3211,92.3788,92.4516,89.832
92.4285,92.4032,92.4634,92.5988,92.5222,92.3202,92.3788,92.4525,89.833
92.4276,92.4033,92.4624,92.5977,92.5215,92.3195,92.3799,92.4529,89.83
92.4269,92.4011,92.4625,92.597,92.5228,92.3205,92.3785,92.4523,89.828
92.4277,92.4017,92.464,92.5975,92.519,92.3189,92.3774,92.4476,89.827
92.4309,92.4041,92.4653,92.6024,92.5233,92.3211,92.3799,92.4528,89.827
92.4311,92.4043,92.4645,92.6006,92.5228,92.3232,92.3812,92.4513,89.827
92.4332,92.4049,92.4671,92.6046,92.524,92.3235,92.3815,92.4518,89.827
92.4334,92.4061,92.4684,92.6061,92.5252,92.3237,92.3817,92.4539,89.828
