1,2,3,4,5,6,7,8,REF
102.7204,102.6928,102.7589,102.8939,102.8373,102.6153,102.6783,102.7588,99.852
102.7236,102.6946,102.7607,102.896,102.8383,102.6166,102.6788,102.7585,99.853
102.7241,102.6962,102.7618,102.8996,102.8386,102.6176,102.6799,102.7582,99.853
102.728,102.6985,102.7633,102.901,102.838,102.6199,102.6819,102.76,99.853
102.7263,102.698,102.763,102.8994,102.8412,102.6194,102.682,102.7595,99.854
102.7288,102.6988,102.7646,102.9007,102.8418,102.6215,102.6806,102.7621,99.856
102.7281,102.6985,102.7647,102.9028,102.8423,102.6224,102.6841,102.7627,99.858
102.7252,102.6962,102.7613,102.897,102.8427,102.6199,102.6807,102.763,99.859
102.7216,102.696,102.7613,102.895,102.8401,102.6186,102.679,102.7601,99.861
102.7216,102.6959,102.7599,102.8968,102.8397,102.6187,102.6811,102.7616,99.862
102.7259,102.6976,102.7626,102.9004,102.8399,102.621,102.6811,102.7622,99.859
102.7262,102.6967,102.7651,102.9018,102.8417,102.6197,102.6806,102.7624,99.858
102.7271,102.7004,102.7657,102.9005,102.8425,102.6207,102.6833,102.7637,99.859
102.7254,102.698,102.7615,102.8981,102.8422,102.6195,102.6799,102.76,99.859
102.7262,102.6983,102.7639,102.8996,102.8402,102.6202,102.6814,102.7613,99.859
102.7252,102.6963,102.762,102.8983,102.8393,102.6202,102.6781,102.7593,99.858
102.7225,102.6973,102.7608,102.8947,102.8391,102.6191,102.6778,102.7579,99.857
102.7223,102.6936,102.7592,102.8929,102.8365,102.6178,102.6791,102.7593,99.855
102.72,102.6934,102.7592,102.8912,102.8378,102.6163,102.6733,102.7595,99.853
102.7216,102.6928,102.7596,102.8907,102.836,102.6169,102.6791,102.7575,99.852
