1,2,3,4,5,6,7,8,REF
174.8448,174.8638,174.8883,174.9888,175.0805,174.7749,174.8449,174.954,169.932
174.8465,174.864,174.8903,174.99,175.0757,174.7754,174.8417,174.948,169.931
174.8432,174.8611,174.8871,174.9853,175.0759,174.7727,174.8399,174.949,169.931
174.8425,174.8588,174.8856,174.9824,175.075,174.7719,174.8389,174.9477,169.93
174.844,174.8618,174.8901,174.9892,175.0775,174.7744,174.8452,174.9507,169.929
174.8455,174.8635,174.8918,174.9901,175.076,174.7751,174.8439,174.95,169.929
174.8458,174.8598,174.889,174.9918,175.0739,174.7726,174.8426,174.9497,169.93
174.846,174.8595,174.8893,174.9901,175.0742,174.7732,174.8429,174.9518,169.93
174.8485,174.8625,174.89,174.991,175.0744,174.7732,174.8442,174.9497,169.929
174.8481,174.8631,174.8919,174.992,175.0775,174.7759,174.8444,174.954,169.929
174.8476,174.8635,174.8939,174.993,175.0764,174.7759,174.8465,174.9523,169.931
174.8468,174.8638,174.8893,174.9903,175.0772,174.7761,174.8424,174.951,169.931
174.8513,174.8636,174.8936,174.9956,175.0775,174.7774,174.8467,174.9538,169.93
174.8506,174.8638,174.8926,174.9964,175.0783,174.7761,174.8474,174.9531,169.93
174.8513,174.8636,174.8933,174.9963,175.0762,174.7761,174.8465,174.9525,169.932
174.8483,174.8633,174.8914,174.992,175.0764,174.7764,174.8464,174.9541,169.933
174.8489,174.8626,174.8934,174.9948,175.076,174.7752,174.849,174.9513,169.934
174.8498,174.8635,174.8929,174.9936,175.0774,174.7771,174.8455,174.9538,169.933
174.8551,174.8664,174.8977,174.9988,175.0805,174.7795,174.8515,174.9566,169.931
174.8518,174.8659,174.8954,174.9974,175.0807,174.7779,174.8488,174.954,169.932
