1,2,3,4,5,6,7,8,REF
154.21,154.2072,154.2535,154.3686,154.4093,154.1275,154.1968,154.2966,149.906
154.2089,154.2061,154.2541,154.3681,154.4077,154.1262,154.1956,154.2972,149.906
154.2095,154.2067,154.2532,154.3665,154.41,154.1264,154.1983,154.2997,149.906
154.2064,154.2072,154.253,154.3663,154.4101,154.1275,154.1979,154.3007,149.904
154.2117,154.208,154.2563,154.3695,154.4106,154.1256,154.1992,154.2992,149.904
154.2125,154.208,154.2538,154.3685,154.4098,154.1269,154.1999,154.2987,149.904
154.2117,154.2067,154.2566,154.37,154.4095,154.127,154.1986,154.2984,149.904
154.213,154.2074,154.2559,154.3713,154.4103,154.1262,154.1981,154.2987,149.904
154.2104,154.2077,154.2548,154.3709,154.4109,154.1272,154.1968,154.2997,149.904
154.2122,154.208,154.255,154.3695,154.4105,154.1265,154.2014,154.301,149.904
154.2087,154.2075,154.2536,154.3649,154.4108,154.1285,154.1984,154.3018,149.904
154.2102,154.2092,154.2561,154.3677,154.4108,154.1282,154.1992,154.3002,149.904
154.2077,154.2085,154.2571,154.3663,154.4157,154.1303,154.1978,154.3025,149.904
154.2113,154.2113,154.2586,154.369,154.4146,154.1315,154.2038,154.3069,149.904
154.2133,154.2131,154.2594,154.3698,154.4162,154.133,154.2042,154.3068,149.906
154.2132,154.2123,154.2573,154.3685,154.4174,154.1328,154.2002,154.3058,149.908
154.2113,154.2149,154.2594,154.3698,154.417,154.133,154.2034,154.3038,149.908
154.2155,154.2146,154.2612,154.3718,154.418,154.1346,154.2043,154.306,149.909
154.2145,154.2144,154.2604,154.3711,154.4182,154.133,154.2034,154.3053,149.909
154.2143,154.2107,154.2592,154.3708,154.4178,154.1328,154.2022,154.3079,149.91
