1,2,3,4,5,6,7,8,REF
133.6155,133.5988,133.6627,133.7911,133.7893,133.5284,133.5943,133.6908,129.903
133.6183,133.5982,133.6652,133.7936,133.7901,133.5274,133.5979,133.6912,129.902
133.6138,133.5975,133.6629,133.7901,133.7899,133.5269,133.592,133.6897,129.902
133.6156,133.5949,133.6614,133.7906,133.789,133.5266,133.5933,133.691,129.903
133.6176,133.5975,133.6621,133.7913,133.7913,133.5275,133.5933,133.6915,129.902
133.6135,133.5954,133.6604,133.7869,133.7908,133.5261,133.5917,133.6899,129.902
133.6168,133.5977,133.6624,133.7914,133.7904,133.5269,133.593,133.6892,129.902
133.6143,133.5959,133.6591,133.7901,133.788,133.5246,133.5915,133.6899,129.902
133.6147,133.5946,133.6586,133.787,133.7885,133.5254,133.5912,133.6879,129.903
133.6132,133.5939,133.657,133.7883,133.7867,133.5241,133.5876,133.6848,129.903
133.6155,133.5956,133.6582,133.7906,133.7885,133.5239,133.593,133.6891,129.901
133.6145,133.5946,133.6596,133.7891,133.7862,133.5256,133.593,133.6895,129.9
133.614,133.5939,133.6601,133.79,133.7877,133.5238,133.5904,133.6874,129.9
133.6158,133.5956,133.6604,133.7906,133.7886,133.5252,133.5922,133.6889,129.9
133.6166,133.5967,133.6609,133.7911,133.7885,133.5259,133.5922,133.6892,129.901
133.6152,133.5953,133.6601,133.7885,133.788,133.5256,133.5927,133.6887,129.901
133.6171,133.597,133.6629,133.7906,133.788,133.5282,133.5955,133.6931,129.902
133.6153,133.5957,133.6627,133.7891,133.7909,133.5274,133.5956,133.692,129.902
133.6178,133.598,133.6624,133.7939,133.7891,133.5295,133.5953,133.69,129.902
133.6168,133.5988,133.6627,133.795,133.7888,133.5275,133.5942,133.6899,129.902
